20170101T07:06:51.165171000Z_109.187.210.192.s2c_ndttrace,0,0,b-->a,226,2,2,0,0,0,0,0,1,1
20170101T07:22:33.26637000Z_93.84.241.207.s2c_ndttrace,0,0,a-->b,2856,48,76,46,46,46,2838,1,0,0
20170101T07:22:33.26637000Z_93.84.241.207.s2c_ndttrace,0,0,b-->a,1471,2,2,0,0,0,0,0,1,1
20170101T08:22:57.507066000Z_2.60.166.11.s2c_ndttrace,0,0,a-->b,275,19,24,17,17,17,269,1,0,0
20170101T08:22:57.507066000Z_2.60.166.11.s2c_ndttrace,0,0,b-->a,150,2,2,0,0,0,0,0,1,1
20170101T09:05:38.430395000Z_166.170.59.201.s2c_ndttrace,0,0,a-->b,172,56,34,54,54,54,169,0,0,0
20170101T09:05:38.430395000Z_166.170.59.201.s2c_ndttrace,0,0,b-->a,119,2,2,0,0,0,0,0,1,1
20170101T09:28:22.156971000Z_62.133.162.193.s2c_ndttrace,0,0,a-->b,700,31,36,29,29,29,692,1,0,0
20170101T09:28:22.156971000Z_62.133.162.193.s2c_ndttrace,0,0,b-->a,366,2,2,0,0,0,0,0,1,1
20170101T09:32:04.294888000Z_46.242.8.55.s2c_ndttrace,0,0,a-->b,8493,49,26,47,47,47,8477,1,0,0
20170101T09:32:04.294888000Z_46.242.8.55.s2c_ndttrace,0,0,b-->a,2998,2,2,0,0,0,0,0,1,1
20170101T11:31:45.482875000Z_62.133.162.244.s2c_ndttrace,0,0,a-->b,766,41,56,39,39,39,757,1,0,0
20170101T11:31:45.482875000Z_62.133.162.244.s2c_ndttrace,0,0,b-->a,417,2,2,0,0,0,0,0,1,1
20170101T12:13:59.667856000Z_37.212.255.191.s2c_ndttrace,0,0,a-->b,5417,492,68,490,490,490,5394,1,0,0
20170101T12:13:59.667856000Z_37.212.255.191.s2c_ndttrace,0,0,b-->a,2156,2,2,0,0,0,0,0,1,1
20170101T12:17:59.239544000Z_178.120.214.237.s2c_ndttrace,0,0,a-->b,5158,518,80,516,516,516,5143,1,0,0
20170101T12:17:59.239544000Z_178.120.214.237.s2c_ndttrace,0,0,b-->a,2110,2,2,0,0,0,0,0,1,1
20170101T12:25:55.215438000Z_178.120.214.237.s2c_ndttrace,0,0,a-->b,5312,467,68,465,465,465,5286,1,0,0
20170101T12:25:55.215438000Z_178.120.214.237.s2c_ndttrace,0,0,b-->a,1965,2,2,0,0,0,0,0,1,1
20170101T12:35:51.644350000Z_46.148.231.50.s2c_ndttrace,0,0,a-->b,3960,162,82,160,160,160,3950,1,0,0
20170101T12:35:51.644350000Z_46.148.231.50.s2c_ndttrace,0,0,b-->a,1326,2,2,0,0,0,0,0,1,1
20170101T12:35:53.774637000Z_93.84.217.93.s2c_ndttrace,0,0,a-->b,2990,55,98,53,53,53,2972,1,0,0
20170101T12:35:53.774637000Z_93.84.217.93.s2c_ndttrace,0,0,b-->a,2925,2,2,0,0,0,0,0,1,1
20170101T12:47:19.218371000Z_37.215.73.209.s2c_ndttrace,0,0,a-->b,3036,69,118,67,67,67,3019,1,0,0
20170101T12:47:19.218371000Z_37.215.73.209.s2c_ndttrace,0,0,b-->a,2936,2,2,0,0,0,0,0,1,1
20170101T13:04:03.318038000Z_176.60.177.51.s2c_ndttrace,0,0,a-->b,318,48,36,46,46,46,312,1,0,0
20170101T13:04:03.318038000Z_176.60.177.51.s2c_ndttrace,0,0,b-->a,167,2,2,0,0,0,0,0,1,1
20170101T13:04:55.403867000Z_185.113.39.95.s2c_ndttrace,0,0,a-->b,4330,53,34,51,51,51,4294,1,0,0
20170101T13:04:55.403867000Z_185.113.39.95.s2c_ndttrace,0,0,b-->a,2186,2,2,0,0,0,0,0,1,1
20170101T13:06:07.937799000Z_46.61.242.35.s2c_ndttrace,0,0,a-->b,5710,970,274,968,968,968,5698,1,0,0
20170101T13:06:07.937799000Z_46.61.242.35.s2c_ndttrace,0,0,b-->a,4734,2,2,0,0,0,0,0,1,1
20170101T13:12:53.168433000Z_45.56.98.222.s2c_ndttrace,0,0,a-->b,16,2,2,0,0,0,0,0,1,1
20170101T13:12:53.168433000Z_45.56.98.222.s2c_ndttrace,0,0,b-->a,36,19,15,18,18,18,34,1,0,0
20170101T13:24:09.524083000Z_93.85.141.205.s2c_ndttrace,0,0,a-->b,3026,57,104,55,55,55,3007,1,0,0
20170101T13:24:09.524083000Z_93.85.141.205.s2c_ndttrace,0,0,b-->a,1979,2,2,0,0,0,0,0,1,1
20170101T13:30:07.295723000Z_37.45.71.122.s2c_ndttrace,0,0,a-->b,1139,191,64,189,189,189,1134,1,0,0
20170101T13:30:07.295723000Z_37.45.71.122.s2c_ndttrace,0,0,b-->a,787,2,2,0,0,0,0,0,1,1
20170101T13:34:13.192049000Z_109.252.99.229.s2c_ndttrace,0,0,a-->b,3705,46,58,44,44,44,3685,1,0,0
20170101T13:34:13.192049000Z_109.252.99.229.s2c_ndttrace,0,0,b-->a,2108,2,2,0,0,0,0,0,1,1
20170101T13:56:08.661743000Z_31.135.231.248.s2c_ndttrace,0,0,a-->b,16511,202,130,200,200,200,16472,1,0,0
20170101T13:56:08.661743000Z_31.135.231.248.s2c_ndttrace,0,0,b-->a,5287,2,2,0,0,0,0,0,1,1
20170101T13:56:17.54831000Z_46.216.168.32.s2c_ndttrace,0,0,a-->b,342,84,70,82,82,82,338,1,0,0
20170101T13:56:17.54831000Z_46.216.168.32.s2c_ndttrace,0,0,b-->a,196,2,2,0,0,0,0,0,1,1
20170101T14:09:48.268081000Z_188.16.83.146.s2c_ndttrace,0,0,a-->b,4668,190,170,188,188,188,4604,1,0,0
20170101T14:09:48.268081000Z_188.16.83.146.s2c_ndttrace,0,0,b-->a,2377,2,2,0,0,0,0,0,1,1
20170101T14:12:07.140106000Z_89.151.188.107.s2c_ndttrace,0,0,a-->b,548,35,18,33,33,33,542,1,0,0
20170101T14:12:07.140106000Z_89.151.188.107.s2c_ndttrace,0,0,b-->a,284,2,2,0,0,0,0,0,1,1
20170101T14:21:58.791026000Z_109.252.99.229.s2c_ndttrace,0,0,a-->b,3751,56,106,54,54,54,3746,1,0,0
20170101T14:21:58.791026000Z_109.252.99.229.s2c_ndttrace,0,0,b-->a,1956,2,2,0,0,0,0,0,1,1
